name,category,starting_price,min_increment
"Aquaquick 3L Gyser","Bajaj",1000,100
"Aquaqwick 3L Gyser","Bajaj",1000,100
"Bahar 225mm Exhaust Fan","Bajaj",1000,100
"Bajaj notch 500W mixer grinder","Bajaj",1000,100
"Chetak HS Deco EEB 1200mm Cieling Fan","Bajaj",1000,100
"Classico Sleek Plus 1200mm Ceiling Fan","Bajaj",1000,100
"DX 2 600w Iron","Bajaj",1000,100
"Edge HS Deco 1200 mm Ceiling Fan","Bajaj",1000,100
"Edge HS Neo EE 1200 mm Ceiling Fan","Bajaj",1000,100
"Farrata Feo 500mm Padestal Fan","Bajaj",1000,100
"Flora 3L Gyser","Bajaj",1000,100
"Instabreeze 230 mm Exhaust Fan","Bajaj",1000,100
"Majesty Geyser 3L","Bajaj",1000,100
"Maxima 6EE 600 mm Ceiling Fan","Bajaj",1000,100
"Maxima Dx 150mm Exhaust Fan","Bajaj",1000,100
"New Popular 1000 W Iron","Bajaj",1000,100
"New Popular 1000W Iron","Bajaj",1000,100
"Novella EE Ceiling Fan 1200mm","Bajaj",1000,100
"Rushair 100mm Exhaust Fan","Bajaj",1000,100
"Compact Oscillating Wall Fan Innova 12 inch","Compact",1000,100
"Corby Power Strip Extension Board","Corby",1000,100
"Aura Prime Anti Dust Ceiling Fan 1200mm","Crompton",1000,100
"Aura Prime Ceiling Fan 1200mm","Crompton",1000,100
"Axial air 150 mm Exhaust Fan","Crompton",1000,100
"Brisk Air 250mm Exhaust Fan","Crompton",1000,100
"Brisk Air CM Exhaust Fan","Crompton",1000,100
"Brisk Air Neo 150mm Exhaust Fan","Crompton",1000,100
"Brisk Air Neo 250 mm Exhaust Fan","Crompton",1000,100
"Brisk Air Neo 250mm Exhaust Fan","Crompton",1000,100
"Briz Deco 1200 mm Ceiling Fan","Crompton",1000,100
"Brizair 600mm Ceiling Fan","Crompton",1000,100
"Brizair 900mm Ceiling Fan","Crompton",1000,100
"Brizair Ceiling Fan 600mm","Crompton",1000,100
"Dasher 1200mm Ceiling Fan","Crompton",1000,100
"Drift Air Plus 150mm Exhaust Fan","Crompton",1000,100
"Drift Air Plus 225 mm Exhaust Fan","Crompton",1000,100
"Drift Air Plus 300mm Exhaust Fan","Crompton",1000,100
"EXHD Alpha 380 mm Exhaust Fan","Crompton",1000,100
"EXHD Alpha 380mm Exhaust Fan","Crompton",1000,100
"Fresh Mix Juicer Mixer Grinder","Crompton",1000,100
"Heavy Duty Cooler Motor 450mm","Crompton",1000,100
"High Flow Wave Plus Wall Fan 400 mm","Crompton",1000,100
"High-Speed Brasso Cabin Fan","Crompton",1000,100
"Instacomfort Room Heater 2000W","Crompton",1000,100
"Life Active Series fresh Mix Ultra Juicer","Crompton",1000,100
"Luxian Jupiter Ceiling Fan 1200mm","Crompton",1000,100
"Neo Breeze Deco 1200 mm Ceiling Fan","Crompton",1000,100
"New Mount Air 150mm Exhaust Fan","Crompton",1000,100
"New Mount Air Exhaust Fan","Crompton",1000,100
"Nigella Pro Mixer Grinder","Crompton",1000,100
"Openwell Submersible pump 1PH","Crompton",1000,100
"Questa DLX Mixer Grinder","Crompton",1000,100
"Rapid Jet Geyser 3L","Crompton",1000,100
"Silentpro Blossom Smart Ceiling Fan","Crompton",1000,100
"Silentpro Ceiling Fan 1200mm","Crompton",1000,100
"Solarium DLX 10L Geyser","Crompton",1000,100
"Solarium Neo 3L Gyser","Crompton",1000,100
"Solarium Neo 5L Gyser","Crompton",1000,100
"Solarium Plus 1 L Gyser","Crompton",1000,100
"Starbriz 900 mm Ceiling Fan","Crompton",1000,100
"Surebreeze Brizair 1400mm Ceiling Fan","Crompton",1000,100
"Surebreeze Starbriz Ceiling Fan 1200mm","Crompton",1000,100
"Trans Air 225mm Exhaust Fan","Crompton",1000,100
"Guardian Spike and Surge Guard Extension Board","Ecolink",1000,100
"Supremo Spike and Surge Guard Extension Board","Ecolink",1000,100
"Vayu Pro Ceiling Fan 1200 mm Ceiling Fan","Ecolink",1000,100
"Digi Led 180 Emergency Light","Eveready",1000,100
"Instanio 3L Gyser","Havells",1000,100
"Rush 3L Gyser","Havells",1000,100
"Ventilair DB Exhaust Fan 2030mm","Havells",1000,100
"Ventilair DX 200mm Exhaust Fan","Havells",1000,100
"Ventilair DX 250mm Exhaust Fan","Havells",1000,100
"Ventilator Hush 150 mm Exhaust Fan","Havells",1000,100
"Ventir Air Dx 200 mm Exhaust Fan","Havells",1000,100
"Ventir Air Dx 250 mm Exhaust Fan","Havells",1000,100
"Ventir air DB Exhaust Fan","Havells",1000,100
"icool Desktop Fan","Havells",1000,100
"icool Personal Fan","Havells",1000,100
"Little Active 600 mm Ceiling Fan","Indo",1000,100
"Bullet Prime 16 inch Pedestal Fan","Kartic",1000,100
"Kartic Table Fan 16 inch","Kartic",1000,100
"Artics A8 BLDC Remote Ceiling Fan","Kühl",1000,100
"Hawaii Desktop Swing Fan","Kühl",1000,100
"Vento 300mm Exhaust Fan","Luminous",1000,100
"Omega's ACE-2X Mixer Grinder 550W","Omegas",1000,100
"Omega's ACE-3X Mixer Grinder 500W","Omegas",1000,100
"Room Heater 2200W","Orpat",1000,100
"Mixer Grinder 500W","Philips",1000,100
"Calid Table Fan","RR",1000,100
"Parto HS Wall Fan","RR",1000,100
"Farrari Pro Padestal Fan","RR Signature",1000,100
"Mojo Plus HS Wall Fan 400mm","RR Signature",1000,100
"Mojo Plus Pedestal Fan 400mm","RR Signature",1000,100
"Tiger 1200 mm Ceiling Fan","RR Signature",1000,100
"Vento Deluxe 200mm Exhaust Fan","RR Signature",1000,100
"Air King Ceiling Fan 1200mm","Usha",1000,100
"Allure Ceiling Fan 1200mm","Usha",1000,100
"Allure Plus Ceiling Fan 1200mm","Usha",1000,100
"Aurora Iron","Usha",1000,100
"Bloom Bellfower Ceiling Fan","Usha",1000,100
"Bloom Daffodil 1250mm Ceiling Fan","Usha",1000,100
"Bloom Daffodil Goodbye Dust Ceiling Fan 1200mm","Usha",1000,100
"Bloom Dahlia Ceiling Fan 1200mm","Usha",1000,100
"Bloom Mangola 1250mm Ceiling Fan","Usha",1000,100
"Bloom Primrose 1250mm Ceiling Fan","Usha",1000,100
"Colossus Aluminium Blade Fan","Usha",1000,100
"Crisp Air 250mm Exhaust Fan","Usha",1000,100
"Crisp Air VX Exhaust Fan","Usha",1000,100
"E Series ETX9 Ceiling Fan","Usha",1000,100
"EI 3302 Iron","Usha",1000,100
"Electric Iron EI 2102","Usha",1000,100
"Hot Wheels Ceiling Fan 1200mm","Usha",1000,100
"Mist Air Duos Pedestal Fan","Usha",1000,100
"Mist Air Icy Wall Fan 400mm","Usha",1000,100
"Speed Master Mixer Grinder","Usha",1000,100
"Steam Pro 1300W Iron","Usha",1000,100
"Striker Millennium 1200mm Ceiling Fan","Usha",1000,100
"Striker Millennium Ceiling Fan 1200mm","Usha",1000,100
"Striker Millennium Ceiling Fan1200mm","Usha",1000,100
"Swift Ceiling Fan 1200mm","Usha",1000,100
"Trump Plus 1200mm Ceiling Fan","Usha",1000,100
